net,httpserver,com.sun.net.httpserver.spi.HttpServerProvider,,
eclipse,jetty,org.eclipse.jetty.http.spi.JettyHttpServerProvider,,
eclipse,jetty,org.eclipse.jetty.security.Authenticator,,
eclipse,jetty,org.eclipse.jetty.security.openid.OpenIdAuthenticatorFactory,,
lang,reflect,java.lang.reflect.Proxy,,
io,io,java.io.Serializable,,
lang,reflect,java.lang.reflect.InvocationHandler,,
lang,reflect,java.lang.reflect.Method,,
eclipse,jetty,org.eclipse.jetty.ee10.annotations.AnnotationConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.Configuration,,
jakarta,servlet,jakarta.servlet.ServletContainerInitializer,,
eclipse,jetty,org.eclipse.jetty.ee10.cdi.CdiConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.cdi.CdiServletContainerInitializer,,
lang,annotation,java.lang.annotation.ElementType,,
eclipse,jetty,org.eclipse.jetty.ee10.plus.webapp.EnvConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.plus.webapp.PlusConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.quickstart.QuickStartConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.quickstart.QuickStartGeneratorConfiguration,,
lang,annotation,java.lang.annotation.Retention,,
lang,annotation,java.lang.annotation.RetentionPolicy,,
util,function,java.util.function.IntFunction,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.FragmentConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JaasConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JaspiConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JettyWebXmlConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JmxConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JndiConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JspConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.MetaInfConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.ServletsConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.WebAppConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.WebInfConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee10.webapp.WebXmlConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee9.annotations.AnnotationConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee9.webapp.Configuration,,
eclipse,jetty,org.eclipse.jetty.http.HttpTokens.LINE_FEED,,
eclipse,jetty,org.eclipse.jetty.ee9.cdi.CdiConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee9.cdi.CdiServletContainerInitializer,,
lang,annotation,java.lang.annotation.Target,,
eclipse,jetty,org.eclipse.jetty.ee9.security.Authenticator,,
eclipse,jetty,org.eclipse.jetty.ee9.security.openid.OpenIdAuthenticatorFactory,,
eclipse,jetty,org.eclipse.jetty.ee9.plus.webapp.EnvConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee9.plus.webapp.PlusConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee9.quickstart.QuickStartConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee9.quickstart.QuickStartGeneratorConfiguration,,
eclipse,jetty,org.eclipse.jetty.http2.frames.WindowUpdateFrame,,
eclipse,jetty,org.eclipse.jetty.ee9.annotations.AnnotationDecorator,,
eclipse,jetty,org.eclipse.jetty.ee10.servlet.ServletContextHandler.ServletContextScopeListener,,
eclipse,jetty,org.eclipse.jetty.ee9.webapp.FragmentConfiguration,,
eclipse,jetty,org.eclipse.jetty.ee9.webapp.JaasConfiguration,,
