puppycrawl,tools,com.puppycrawl.tools.checkstyle.utils.ModuleReflectionUtil,Utility,Diagnostic Utilities
common,truth,com.google.common.truth.Truth.assertWithMessage,Test,Unit Testing
io,io,java.io.BufferedReader,Input-Output,Buffering Strategies
io,io,java.io.ByteArrayInputStream,Input-Output,Data Reading
io,io,java.io.ByteArrayOutputStream,Input-Output,Data Writing
io,io,java.io.File,Input-Output,File Management
io,io,java.io.IOException,Input-Output,Network IO
io,io,java.io.InputStreamReader,Input-Output,Data Reading
io,io,java.io.LineNumberReader,Input-Output,Data Reading
nio,charset,java.nio.charset.StandardCharsets,Internationalization,Language Support
nio,file,java.nio.file.Files,Input-Output,"Data Reading, Data Writing, File Management"
nio,file,java.nio.file.Path,Input-Output,File Management
text,text,java.text.MessageFormat,Internationalization,Localization
util,util,java.util.ArrayList,Data Structure,Linear Structures
util,util,java.util.Collections,Utility,Performance Tools
util,util,java.util.HashMap,Data Structure,Data Manipulation
util,util,java.util.List,Data Structure,Linear Structures
util,util,java.util.Locale,Internationalization,Language Support
util,util,java.util.Map,Data Structure,Data Manipulation
util,util,java.util.Properties,Utility,System Tools
util,concurrent,java.util.concurrent.AbstractExecutorService,Multi-Thread,Parallel Processing
common,annotations,com.google.common.annotations.GwtCompatible,Utility,System Tools
util,regex,java.util.regex.Pattern,Utility,Data Conversion
util,stream,java.util.stream.Collectors,Utility,Data Conversion
puppycrawl,tools,com.puppycrawl.tools.checkstyle.AbstractPathTestSupport,Test,Unit Testing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.Checker,Utility,Diagnostic Utilities
puppycrawl,tools,com.puppycrawl.tools.checkstyle.DefaultConfiguration,Utility,Diagnostic Utilities
puppycrawl,tools,com.puppycrawl.tools.checkstyle.TreeWalker,Parser,Syntax Parsing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.api.AbstractViolationReporter,Utility,Diagnostic Utilities
javax,swing,javax.swing.WindowConstants.EXIT_ON_CLOSE,User Interface,Interaction Design
puppycrawl,tools,com.puppycrawl.tools.checkstyle.api.CheckstyleException,Error Handling,Exception Handling
test,chapter2filebasic,com.google.checkstyle.test.chapter2filebasic.rule21filename.FileNameTest,Test,Unit Testing
test,chapter3filestructure,com.google.checkstyle.test.chapter3filestructure.rule3sourcefile.SourceFileStructureTest,Test,Unit Testing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.api.Configuration,Utility,Diagnostic Utilities
common,reflect,com.google.common.reflect.ImmutableTypeToInstanceMap,Utility,Data Conversion
puppycrawl,tools,com.puppycrawl.tools.checkstyle.bdd.InlineConfigParser,Parser,Syntax Parsing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.bdd.TestInputViolation,Test,Unit Testing
awt,awt,java.awt.Dialog,User Interface,Interaction Design
puppycrawl,tools,com.puppycrawl.tools.checkstyle.internal.utils.BriefUtLogger,Logging,Event Logging
puppycrawl,tools,com.puppycrawl.tools.checkstyle.utils.CommonUtil,Utility,Diagnostic Utilities
util,Collections,java.util.Collections.emptyList,Utility,Performance Tools
io,io,java.io.Writer,Input-Output,Data Writing
util,concurrent,java.util.concurrent.ThreadFactory,Multi-Thread,Thread Safety
util,util,java.util.UUID,Utility,System Tools
util,regex,java.util.regex.Matcher,Search,Query Processing
javax,swing,javax.swing.WindowConstants.DO_NOTHING_ON_CLOSE,User Interface,Interaction Design
base,base,org.checkstyle.base.AbstractCheckstyleModuleTestSupport,Test,Unit Testing
junit,jupiter,org.junit.jupiter.api.io.TempDir,Test,Unit Testing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.JavaParser,Parser,Syntax Parsing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.api.DetailAST,Parser,Syntax Parsing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.api.FileText,Parser,Syntax Parsing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.filters.SuppressionXpathFilter,Utility,Automation Scripts
puppycrawl,tools,com.puppycrawl.tools.checkstyle.xpath.XpathQueryGenerator,Parser,Syntax Parsing
junit,jupiter,org.junit.jupiter.api.Test,Test,Unit Testing
javax,swing,javax.swing.WindowConstants.DISPOSE_ON_CLOSE,User Interface,Interaction Design
test,chapter2filebasic,com.google.checkstyle.test.chapter2filebasic.rule21filename.InputFileName1,Test,Unit Testing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.naming.AbbreviationAsWordInNameCheck,Utility,Diagnostic Utilities
common,reflect,com.google.common.reflect.TypeToken,Utility,Data Conversion
util,util,java.util.Arrays,Utility,Data Conversion
puppycrawl,tools,com.puppycrawl.tools.checkstyle.utils.AnnotationUtil.containsAnnotation,Utility,Diagnostic Utilities
puppycrawl,tools,com.puppycrawl.tools.checkstyle.utils.AnnotationUtil.getAnnotation,Utility,Diagnostic Utilities
net,net,java.net.CacheRequest,Network,Data Transmission
lang,annotation,java.lang.annotation.ElementType.TYPE_USE,Language,Type Systems
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.naming.AbstractClassNameCheck,Language,Syntax Features
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationLocationCheck,Utility,Diagnostic Utilities
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationOnSameLineCheck,Language,Syntax Features
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationUseStyleCheck,Utility,Diagnostic Utilities
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.sizes.AnonInnerLengthCheck,Utility,Diagnostic Utilities
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.coding.ArrayTrailingCommaCheck,Language,Syntax Features
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.ArrayTypeStyleCheck,Language,Type Systems
awt,geom,java.awt.geom.Rectangle2D,Computer Graphics,Image Rendering
base,base,org.checkstyle.base.AbstractItModuleTestSupport,Test,Unit Testing
puppycrawl,tools,com.puppycrawl.tools.checkstyle.ConfigurationLoader,Utility,System Tools
puppycrawl,tools,com.puppycrawl.tools.checkstyle.PropertiesExpander,Utility,System Tools
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.coding.AvoidDoubleBraceInitializationCheck,Utility,Diagnostic Utilities
puppycrawl,tools,com.puppycrawl.tools.checkstyle.checks.AvoidEscapedUnicodeCharactersCheck.MSG_KEY,Internationalization,Localization
lang,annotation,java.lang.annotation.ElementType.CONSTRUCTOR,Language,Standard Libraries
