net,httpserver,com.sun.net.httpserver.spi.HttpServerProvider,Network,Data Transmission
eclipse,jetty,org.eclipse.jetty.http.spi.JettyHttpServerProvider,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.security.Authenticator,Security,Authentication
eclipse,jetty,org.eclipse.jetty.security.openid.OpenIdAuthenticatorFactory,Security,Authentication
lang,reflect,java.lang.reflect.Proxy,Utility,System Tools
io,io,java.io.Serializable,Input-Output,Data Writing
lang,reflect,java.lang.reflect.InvocationHandler,Utility,System Tools
lang,reflect,java.lang.reflect.Method,Utility,System Tools
eclipse,jetty,org.eclipse.jetty.ee10.annotations.AnnotationConfiguration,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee10.webapp.Configuration,DevOps,Configuration Management
jakarta,servlet,jakarta.servlet.ServletContainerInitializer,Application,Integration
eclipse,jetty,org.eclipse.jetty.ee10.cdi.CdiConfiguration,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee10.cdi.CdiServletContainerInitializer,Microservices/Services,Service Communication
lang,annotation,java.lang.annotation.ElementType,Language,Standard Libraries
eclipse,jetty,org.eclipse.jetty.ee10.plus.webapp.EnvConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee10.plus.webapp.PlusConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee10.quickstart.QuickStartConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.ee10.quickstart.QuickStartGeneratorConfiguration,DevOps,Configuration Management
lang,annotation,java.lang.annotation.Retention,Language,Standard Libraries
lang,annotation,java.lang.annotation.RetentionPolicy,Language,Standard Libraries
util,function,java.util.function.IntFunction,Utility,Data Conversion
eclipse,jetty,org.eclipse.jetty.ee10.webapp.FragmentConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JaasConfiguration,Security,Authentication
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JaspiConfiguration,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JettyWebXmlConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JmxConfiguration,DevOps,Monitoring and Logging
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JndiConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee10.webapp.JspConfiguration,Application,App Configuration
eclipse,jetty,org.eclipse.jetty.ee10.webapp.MetaInfConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee10.webapp.ServletsConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.ee10.webapp.WebAppConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.ee10.webapp.WebInfConfiguration,Application,App Configuration
eclipse,jetty,org.eclipse.jetty.ee10.webapp.WebXmlConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.annotations.AnnotationConfiguration,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee9.webapp.Configuration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.http.HttpTokens.LINE_FEED,Network,Protocol Implementation
eclipse,jetty,org.eclipse.jetty.ee9.cdi.CdiConfiguration,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee9.cdi.CdiServletContainerInitializer,Microservices/Services,Service Communication
lang,annotation,java.lang.annotation.Target,Language,Standard Libraries
eclipse,jetty,org.eclipse.jetty.ee9.security.Authenticator,Security,Authentication
eclipse,jetty,org.eclipse.jetty.ee9.security.openid.OpenIdAuthenticatorFactory,Security,Authentication
eclipse,jetty,org.eclipse.jetty.ee9.plus.webapp.EnvConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.plus.webapp.PlusConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.quickstart.QuickStartConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.ee9.quickstart.QuickStartGeneratorConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.http2.frames.WindowUpdateFrame,Network,Protocol Implementation
eclipse,jetty,org.eclipse.jetty.ee9.annotations.AnnotationDecorator,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee10.servlet.ServletContextHandler.ServletContextScopeListener,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee9.webapp.FragmentConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.webapp.JaasConfiguration,Security,Authentication
eclipse,jetty,org.eclipse.jetty.ee9.webapp.JaspiConfiguration,Security,Authentication
eclipse,jetty,org.eclipse.jetty.ee9.webapp.JettyWebXmlConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.webapp.JmxConfiguration,DevOps,Monitoring and Logging
eclipse,jetty,org.eclipse.jetty.ee9.webapp.JndiConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.webapp.JspConfiguration,Application,App Configuration
eclipse,jetty,org.eclipse.jetty.ee9.webapp.MetaInfConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.webapp.ServletsConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.ee9.webapp.WebAppConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.ee9.webapp.WebInfConfiguration,DevOps,Configuration Management
eclipse,jetty,org.eclipse.jetty.ee9.webapp.WebXmlConfiguration,Microservices/Services,Service Deployment
eclipse,jetty,org.eclipse.jetty.alpn.bouncycastle.client.BouncyCastleClientALPNProcessor,Network,Network Security
eclipse,jetty,org.eclipse.jetty.alpn.bouncycastle.server.BouncyCastleServerALPNProcessor,Network,Network Security
eclipse,jetty,org.eclipse.jetty.websocket.api.ExtensionConfig,Network,Protocol Implementation
eclipse,jetty,org.eclipse.jetty.websocket.common.ExtensionConfigParser,Parser,Syntax Parsing
eclipse,jetty,org.eclipse.jetty.ee10.websocket.jakarta.client.webapp.JakartaWebSocketShutdownContainer,Network,Connection Management
eclipse,jetty,org.eclipse.jetty.ee10.websocket.client.config.JettyWebSocketClientConfiguration,Network,Protocol Implementation
eclipse,jetty,org.eclipse.jetty.ee9.websocket.jakarta.client.webapp.JakartaWebSocketShutdownContainer,Microservices/Services,Service Communication
eclipse,jetty,org.eclipse.jetty.ee9.websocket.client.config.JettyWebSocketClientConfiguration,Network,Protocol Implementation
eclipse,jetty,org.eclipse.jetty.util.component.AbstractLifeCycle,DevOps,Monitoring and Logging
eclipse,jetty,org.eclipse.jetty.util.annotation.ManagedAttribute,DevOps,Monitoring and Logging
