common,collect,com.google.common.collect.ImmutableMap,Data Structure,Data Manipulation
gson,gson,com.google.gson.JsonElement,Utility,Data Conversion
gson,gson,com.google.gson.JsonObject,Utility,Data Conversion
util,util,java.util.List,Data Structure,Linear Structures
util,util,java.util.Objects,Utility,System Tools
assertj,core,org.assertj.core.api.AssertionsForClassTypes.assertThat,Test,Unit Testing
common,io,com.google.common.io.Resources,Input-Output,Data Reading
io,io,java.io.ByteArrayOutputStream,Input-Output,Data Writing
io,io,java.io.IOException,Input-Output,Network IO
nio,charset,java.nio.charset.StandardCharsets,Internationalization,Language Support
util,zip,java.util.zip.DataFormatException,Error Handling,Exception Handling
util,zip,java.util.zip.Inflater,Utility,Data Conversion
junit,junit,org.junit.Test,Test,Unit Testing
nio,nio,java.nio.ByteBuffer,Input-Output,Buffering Strategies
util,util,java.util.UUID,Utility,Data Conversion
ericsson,bss,com.ericsson.bss.rm.common.datatypes.date.DateTimeFactory,Utility,Data Conversion
ericsson,bss,com.ericsson.bss.rmca.eventservice.avro.RmcaEventRecord,Event Handling,Event Driven Processing
ericsson,bss,com.ericsson.bss.rmca.utilities.conversion.json.JsonHelper,Utility,Data Conversion
assertj,core,org.assertj.core.api.Assertions.assertThat,Test,Unit Testing
gson,gson,com.google.gson.JsonParser,Parser,Data Conversion
ericsson,bss,com.ericsson.bss.rmca.cdac.utilities.resources.ResourceUtility,Utility,System Tools
io,io,java.io.File,Input-Output,File Management
net,net,java.net.URISyntaxException,Error Handling,Exception Handling
nio,file,java.nio.file.Files,Input-Output,"Data Reading, Data Writing, File Management"
nio,file,java.nio.file.Path,Input-Output,File Management
nio,file,java.nio.file.Paths,Input-Output,File Management
security,security,java.security.MessageDigest,Security,Data Integrity
security,security,java.security.NoSuchAlgorithmException,Security,Encryption
javax,xml,javax.xml.bind.DatatypeConverter,Utility,Data Conversion
ericsson,bss,com.ericsson.bss.cil.cdac.api.CdacException,Error Handling,Exception Handling
ericsson,bss,com.ericsson.bss.cil.cdac.api.RequestProperty,Microservices/Services,API Gateway
ericsson,bss,com.ericsson.bss.rmca.persistenceservice.PersistenceService,Databases,Transaction Management
util,util,java.util.Map,Data Structure,Data Manipulation
net,net,java.net.InetAddress,Network,Connection Management
net,net,java.net.UnknownHostException,Network,Connection Management
util,zip,java.util.zip.Deflater,Utility,Data Conversion
slf4j,slf4j,org.slf4j.Logger,Logging,Error Logs
slf4j,slf4j,org.slf4j.LoggerFactory,Logging,Event Logging
util,util,java.util.Optional,Utility,Data Conversion
util,stream,java.util.stream.Stream,Utility,Data Conversion
assertj,core,org.assertj.core.api.Assertions.assertThatThrownBy,Test,Unit Testing
mockito,AdditionalAnswers,org.mockito.AdditionalAnswers.returnsFirstArg,Test,Unit Testing
mockito,AdditionalAnswers,org.mockito.AdditionalAnswers.returnsSecondArg,Test,Unit Testing
mockito,Matchers,org.mockito.Matchers.anyString,Test,Unit Testing
mockito,Mockito,org.mockito.Mockito.mock,Test,Unit Testing
mockito,Mockito,org.mockito.Mockito.spy,Test,Unit Testing
mockito,Mockito,org.mockito.Mockito.verifyZeroInteractions,Test,Unit Testing
mockito,Mockito,org.mockito.Mockito.when,Test,Unit Testing
common,collect,com.google.common.collect.Iterables,Data Structure,Data Manipulation
util,util,java.util.ArrayList,Data Structure,Linear Structures
util,util,java.util.Arrays,Utility,Data Conversion
util,util,java.util.Collections,Utility,Performance Tools
util,concurrent,java.util.concurrent.atomic.AtomicLong,Multi-Thread,Thread Safety
util,stream,java.util.stream.Collectors,Utility,Data Conversion
junit,junit,org.junit.Before,Test,Unit Testing
junit,junit,org.junit.Rule,Test,Unit Testing
mockito,mockito,org.mockito.ArgumentCaptor,Test,Unit Testing
mockito,mockito,org.mockito.Captor,Test,Unit Testing
mockito,mockito,org.mockito.Mock,Test,Unit Testing
mockito,junit,org.mockito.junit.MockitoJUnit,Test,Unit Testing
mockito,junit,org.mockito.junit.MockitoRule,Test,Unit Testing
ericsson,bss,com.ericsson.bss.rmca.entitymodificationviews.Transaction,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entitymodificationviews.TransactionFactory,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.base.PredefinedEntityIds,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.AbstractSpecification,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.AbstractVersion,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.IdQuery,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.PrivateQueryFactory,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.Query,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.RankingEntry,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.SharingProviderPriorityList,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.SharingProviderPriorityListVersion,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.entityserviceviews.cdac.State,Microservices/Services,Service Communication
ericsson,bss,com.ericsson.bss.rmca.utilities.entity.IdListQuery,Utility,Data Conversion
ericsson,bss,com.ericsson.bss.rmca.utilities.entity.ListQuery,Utility,System Tools
ericsson,bss,com.ericsson.bss.rmca.utilities.entity.prioritylistmanagement.filtering.PriorityListVersionFilterer,Utility,System Tools
